codigo;oem;descripcion;modelos;precio
1008/02;7702087375;POLEA DE CIGUEÑAL;R-12 1600 CC.;2383
1008/21;7700112999;POLEA DE CIGUEÑAL;R-19/CLIO/EXPRESS/KANGOO/TRAFIC F8Q;7408
1008/28;8200392683;POLEA DE CIGUEÑAL;CLIO/MEGANE/SCENIC/KANGOO 1.6 16V. K4M;8728
1008/29;7700109260;POLEA DE CIGUEÑAL;LAGUNA/MEGANE/SCENIC 2.0 F3R;8081
1008/30;7700115309;POLEA DE CIGUEÑAL;MEGANE/SCENIC/CLIO II F9Q;12585
1008/31;8200386453;POLEA DE CIGUEÑAL ;LAGUNA/MEGANE/SCENIC 1.8/2.0 F4P/F4R;9289
1008/32;8200619927;POLEA DE CIGUEÑAL ;MEGANE II F4R;13365
1008/33;8200699517;POLEA DE CIGUEÑAL ;MEGANE II 05/   1.6 16V.K4M;13020
1008/34;8200477938;POLEA DE CIGUEÑAL;CLIO II/LOGAN/SANDERO/KANGOO 1.5 DCI K9K;14313
1008/35;8200392697;POLEA DE CIGUEÑAL;CLIO II 1.5 K9K;9740
1008/36;8200029592;POLEA DE CIGUEÑAL;CLIO II 1.2 16 V. D4F;11731
1008/37;8200849840;POLEA DE CIGUEÑAL;LOGAN/SANDERO 11/  1.6 8V. K7M;7846
1008/38;8200936808;POLEA DE CIGUEÑAL ;LOGAN/SANDERO 1.6 8V. K7M;7977
1008/41;7701052580;POLEA DE CIGUEÑAL;MASTER 2.5/2.8 S8V/S9W;14009
1008/42;8200802664;POLEA DE CIGUEÑAL ;MASTER   /06 2.5 DCI G9U;22579
1008/43;8200802666;POLEA DE CIGUEÑAL ;MASTER 06/  2.5 DCI  G9U;16596
1008/44;8200805671;POLEA DE CIGUEÑAL (7 CANALES);MASTER 13/   2.3 DCI M9T;22407
1009/00;7702020133;POLEA DE CIGUEÑAL FUNDICION;R-12/18 1400 CC;3005
1009/03;7703070009;CHAVETA DE CIGUEÑAL;R-12/9/11/18/19/CLIO/TWINGO/EXPRESS;142
1009/08;7702057320;POLEA DE CIGUEÑAL ;R-12/11/18 1400 CC.85/90;1779
1009/10;7702057332;POLEA DE CIGUEÑAL ;R-12/11/18 1400 CC.85/90;2383
1009/11;7702080679;POLEA DE CIGUEÑAL ;R-9/11/18/19 1.6 C2L/C3L;6710
1009/12;7702057955;POLEA CIGUEÑAL ;R-9/11/18/19/TRAFIC 1.4/1.6 C2L/C3L;1779
1009/13;7702080879;CUELLO POLEA CIGUEÑAL ;R-12/18/9/11/19/CLIO/TRAFIC;1965
1009/19;7703053348;ARANDELA POLEA CIGUEÑAL;R-12/9/11/19/CLIO/TRAFIC;54
1011/03;7700710310;ARBOL DE LEVAS;R-18/21/TRAFIC 2.0;4250
1017/08;7700553174;BUJE VOLANTE DE MOTOR (TH150);RENAULT TODOS;401
1025/00;2015042;ARANDELA BULON TAPA CILINDROS;IKA CONTINENTAL;40
1026/02;7703053147;ARANDELA BULON TAPA CILINDROS;RENAULT TODOS 1400/1600 CC.;40
1033/11;_;BUJE DE BIELA ;TORINO 7 BANC.;59
1034/32;7701059314;JUNTA TAPA DE VALVULAS;CLIO II/TWINGO  05/   1.2 16 V. D4F;658
1034/33;7701049888;JUNTA TAPA DE VALVULAS;CLIO II/TWINGO/KANGOO 1.0/1.2 16 V.D4D/D4F;771
1034/34;7701049890;JUNTA CAJA MOTORIZADA ADMISION;CLIO II/TWINGO/KANGOO 1.0/1.2 16 V.D4D/D4F;903
1034/35;7700719666;JUNTA TAPA DE VALVULAS;R-19/MEGANE/TRAFIC F2N/F3P/F3R/F8Q;323
1034/36;7701036311;JUNTA TAPA DE VALVULAS;R-19/CLIO 1.6 C3L/TWINGO;800
1034/37;13270-ET000;JUNTA TAPA DE VALVULAS;FLUENCE/MEGANE III 11/    2.0 16 V.M4R;1434
1034/39;8200117388;JUNTA TAPA DE VALVULAS;CLIO II 1.5 K9K;257
1034/40;5001857428;JUNTA TAPA DE VALVULAS;MASTER     /06 2.5 S9W/S8U;1020
1034/41;7701472450;JUNTA TAPA DE VALVULAS;MASTER 2.5 DCI G9U;2742
1042/00;2019541;COJINETE BALANCIN VALVULAS;TORINO 4 BANC.;68
1059/01;7700722758;CADENA DE DISTRIBUCION;R-4/6/12/9/11/18/19/CLIO/TRAFIC;1572
1061/00;7700719076;TENSOR DE CADENA -WINCHESTER-;R-4/6/12/9/11/18/19;1736
1062/01;7700860495;TENSOR DE CADENA ;CLIO/TWINGO/R-9/19 1.6 C3L;2208
1064/15;7700102395;POLEA TENSOR POLI V;CLIO/MEGANE/SCENIC F8Q/F9Q;1173
1064/25;7700102395;POLEA TENSOR POLI V;CLIO/MEGANE/SCENIC F8Q/F9Q;2575
1064/36;8200933753;TENSOR AUTOMATICO POLI V;CLIOII/KANGOO/LOGAN/SANDERO 1.6 8 V.K7M/16 V.K4M;8123
